mean,std,max,min,median,kurtosis,skew,rms,crest_factor,impulse_factor,clearance_factor,label
-44.8934736149926,1487.47113637555,30556.0,-32444.0,-8.0,292.42034260640594,-8.894525762100688,1488.1484487522036,21.80158842836139,165.93268588061503,0.014650143570449432,0
-49.076113759658064,1555.0350027886725,30434.0,-32379.0,-19.0,253.96878583811707,-4.982509437851397,1555.8092186510908,20.811677686338086,151.5435515218104,0.013376754319775863,0
-44.35821140884432,1516.839518109413,24687.0,-32294.0,-1.0,277.0393284726722,-9.468419439487349,1517.4879817045628,21.281222908747402,152.2828363166736,0.014023981188201995,0
-210.25908268946245,2294.48192122173,31277.0,-32149.0,-99.0,112.02624696158068,-4.618553305032048,2304.095520734064,13.952980556013415,63.547217259574055,0.006055730081697362,0
-56.807825086306096,1541.0863296756997,29761.0,-32166.0,-14.0,258.6305234795486,-8.458274809496709,1542.1330048035275,20.858123067081394,156.061192748944,0.013525502017083661,0
-44.889424733034794,1551.0536297025144,29253.0,-32164.0,-1.0,255.53703660071187,-8.615894112210617,1551.7030716816305,20.728192517620553,154.7468651907734,0.013358349864679164,0
-57.19014812263176,1545.0882540243972,27617.0,-32181.0,-11.0,266.88081230442197,-8.56084024509576,1546.1463144755894,20.813683477889295,155.34769443104912,0.013461651903848909,0
-62.68475157053113,1637.7690774660095,27637.0,-32179.0,-10.0,231.4903214711773,-7.960224058940567,1638.9682514262818,19.633693314069276,138.77899632601958,0.01197930057338415,0
-72.38796877974491,1620.402279428408,27069.0,-32186.0,-20.0,245.9995904233772,-8.395530931459852,1622.01836154861,19.84317857491493,138.2465629093478,0.012233633752437797,0
-81.30097087378641,1621.523928232801,30269.0,-32186.0,-26.0,245.65312741394104,-8.200031802603428,1623.5608081302512,19.82432677533434,135.77264455947565,0.012210399928392408,0
-71.9114791547687,1620.7444347330118,30226.0,-32179.0,-20.0,243.08667084217512,-8.139299280134038,1622.3389854010954,19.83494219738811,136.61474023313272,0.01222613915826245,0
-79.95164667808871,1683.1499255125648,25902.0,-32177.0,-24.0,233.6491393491629,-8.319532575184331,1685.047755275645,19.095601236972893,129.62716095397172,0.011332379855222074,0
-71.09822958309537,1701.9006037966535,27517.0,-32153.0,-12.0,226.5339110664093,-8.416272621146252,1703.3850484999757,18.875943538611175,130.57502510616487,0.011081430798769538,0
-115.15115172282505,1693.0159509250698,29143.0,-32427.0,-62.0,231.70850440971134,-8.054152760120639,1696.9274580340232,19.10924350152736,118.75570792650407,0.01126108450367489,0
-82.75118979630687,1713.3257576087847,26131.0,-32502.0,-27.0,223.7559559458063,-8.543753156911647,1715.3229757390939,18.948035127900987,125.18532645277092,0.011046336693377937,0
-61.74281363030649,1713.5512701307448,29380.0,-32298.0,-17.0,225.16203361735936,-7.7452969585303215,1714.6632702666943,18.836351463326356,123.45681630146325,0.010985452240075449,0
